id,spacegroup,density,energy,PBE_lattice_energy_kjmol,rel_energy,rel_PBE_energy,diff,rel_diff
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7159,1,1.7771,-80.2713,-87.13753641,6.9348,14.25766959,-6.866236408,7.322869589
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7209,1,1.7374,-80.1471,-85.05717207,7.059,16.33803393,-4.910072069,9.279033928
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7238,1,1.8119,-80.0933,-86.29047477,7.1128,15.10473123,-6.197174767,7.991931229
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7254,1,1.7384,-80.4354,-88.03835194,6.7707,13.35685405,-7.602951943,6.586154054
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7262,1,1.7382,-80.3046,-87.97908488,6.9015,13.41612112,-7.674484878,6.514621119
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7278,1,1.7443,-80.1196,-89.69715702,7.0865,11.69804898,-9.577557019,4.611548978
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7287,1,1.6879,-80.4529,-88.86844978,6.7532,12.52675622,-8.415549778,5.773556218
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7296,1,1.6919,-80.2036,-88.50044879,7.0025,12.89475721,-8.296848785,5.892257212
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7303,1,1.6919,-80.2348,-88.58829456,6.9713,12.80691144,-8.353494557,5.83561144
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7481,1,1.7293,-80.793,-89.88107997,6.4131,11.51412603,-9.088079965,5.101026031
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7602,1,1.7813,-79.7385,-88.43613795,7.4676,12.95906805,-8.697637951,5.491468046
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7608,1,1.7804,-80.7414,-88.95245761,6.4647,12.44274839,-8.211057606,5.978048391
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7625,1,1.8252,-79.6104,-87.96559189,7.5957,13.42961411,-8.35519189,5.833914106
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7635,1,1.7594,-79.8557,-88.02140575,7.3504,13.37380025,-8.165705746,6.023400251
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7707,1,1.7546,-80.7448,-90.44816657,6.4613,10.94703943,-9.703366571,4.485739426
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7709,1,1.7546,-80.0757,-88.8957503,7.1304,12.4994557,-8.820050296,5.369055701
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7760,1,1.7774,-82.0038,-90.69786331,5.2023,10.69734269,-8.694063311,5.495042686
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7843,1,1.7299,-79.8,-87.56188651,7.4061,13.83331949,-7.761886509,6.427219488
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7871,1,1.7523,-79.8668,-87.98019325,7.3393,13.41501274,-8.113393253,6.075712744
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7890,1,1.7523,-79.9268,-88.57765271,7.2793,12.81755329,-8.65085271,5.538253287
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7942,1,1.7457,-80.6346,-91.57107223,6.5715,9.824133768,-10.93647223,3.252633768
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8006,1,1.6862,-80.292,-89.3261329,6.9141,12.0690731,-9.0341329,5.154973097
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8059,1,1.7454,-80.3273,-89.76118081,6.8788,11.63402519,-9.43388081,4.755225187
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8116,1,1.6921,-79.5506,-88.02497112,7.6555,13.37023488,-8.47437112,5.714734877
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8217,1,1.6354,-79.9152,-89.47173188,7.2909,11.92347411,-9.556531882,4.632574114
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8442,1,1.6506,-80.4236,-88.27307875,6.7825,13.12212725,-7.849478746,6.339627251
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8462,1,1.6526,-79.361,-88.26434538,7.8451,13.13086062,-8.903345378,5.285760618
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8501,1,1.6293,-79.8077,-87.5084679,7.3984,13.8867381,-7.700767901,6.488338096
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8519,1,1.6282,-78.8789,-88.34813853,8.3272,13.04706747,-9.469238526,4.719867471
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8542,1,1.6422,-78.6063,-89.34719444,8.5998,12.04801156,-10.74089444,3.44821156
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8556,1,1.6813,-79.88,-89.72697749,7.3261,11.66822851,-9.846977492,4.342128505
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8565,1,1.6486,-79.5898,-89.12974646,7.6163,12.26545953,-9.539946464,4.649159533
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8600,1,1.6229,-79.0857,-87.42092702,8.1204,13.97427897,-8.335227023,5.853878974
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8648,1,1.6416,-79.2191,-86.62389446,7.987,14.77131154,-7.404794461,6.784311535
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8799,1,1.7122,-79.9964,-89.73158539,7.2097,11.66362061,-9.735185389,4.453920608
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8823,1,1.7177,-79.9502,-90.42795169,7.2559,10.9672543,-10.47775169,3.711354304
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8835,1,1.7196,-79.2901,-89.00112166,7.916,12.39408434,-9.711021659,4.478084338
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-8861,1,1.7126,-80.4608,-92.14271969,6.7453,9.252486302,-11.68191969,2.507186302
